BankID,AdminUserID,Name,City,Address,ContactNo
1,7,"Shaukat Khanam""""",Liverpool,66 Barnett Way,992-480-7484
2,35,Fatimid Foundation,Mikulovice,19441 Reindahl Terrace,294-742-9735
3,93,Fatimid Foundation,Tržič,32122 Colorado Park,862-243-5008
4,82,Eidhi Foundation,Waru,70 Upham Parkway,623-978-5173
5,18,Fatimid Foundation,St. Thomas,463 1st Street,730-458-2760
6,74,"Shaukat Khanam""""",Benoni,27042 Burning Wood Court,988-925-9263
7,40,Al-Shifa Blood Center,Rattanaburi,80 Cascade Parkway,497-126-8464
8,39,City Blood Bank,Robonkon,150 Forest Court,544-301-7260
9,24,Al-Shifa Blood Center,Tolitoli,8404 Brown Road,461-746-5815
10,8,Husaini Foundation,Genet,47 Bunker Hill Alley,458-939-7410
11,13,Eidhi Foundation,Hagerstown,517 Sachs Crossing,240-853-7310
12,50,"Shaukat Khanam""""",Lansing,8 Bowman Junction,517-620-8503
13,21,Fatimid Foundation,Nong Muang Khai,9458 Havey Road,622-693-1817
14,42,Liaquat Blood Bank,Lenchwe Le Tau,5 Dorton Lane,374-204-6264
15,25,Fatimid Foundation,Mariel,6528 Bayside Center,468-272-7639
16,93,Liaquat Blood Bank,Bato,375 Fairview Way,298-801-4249
17,72,Husaini Foundation,Lagunillas,7647 Beilfuss Road,195-715-2882
18,31,Fatimid Foundation,Puerto San José,64 Elka Trail,139-555-6216
19,79,Al-Shifa Blood Center,Stąporków,94 Huxley Avenue,492-587-0964
20,97,"Shaukat Khanam""""",Wiphawadi,5 Arapahoe Way,589-595-0476
21,31,City Blood Bank,Gumalang,68176 Drewry Avenue,567-469-3791
22,28,Eidhi Foundation,Watulabara,90204 Continental Point,576-163-4329
23,1,Liaquat Blood Bank,Tianjin,76 Nancy Junction,459-307-5767
24,60,Husaini Foundation,Punggurharjo,3 Spenser Center,824-121-6798
25,41,City Blood Bank,Ikeja,3969 Pierstorff Lane,859-787-2443
26,39,"Shaukat Khanam""""",Johanneshov,0113 Elka Point,702-436-8593
27,70,"Shaukat Khanam""""",Aytos,5 7th Road,442-954-9759
28,71,Eidhi Foundation,Gosen,33 Rigney Parkway,261-730-2017
29,59,"Shaukat Khanam""""",Taihe,393 Graceland Junction,419-654-0732
30,71,"Shaukat Khanam""""",Radekhiv,5426 Green Ridge Way,433-772-0371
31,35,Husaini Foundation,Cangchang,93 Shelley Hill,638-255-6727
32,68,City Blood Bank,São Bento,35499 Browning Crossing,602-687-0081
33,71,"Shaukat Khanam""""",Mae Hi,4600 Comanche Terrace,927-370-9719
34,67,Al-Shifa Blood Center,Laixi,34252 Loomis Road,596-830-5266
35,75,Eidhi Foundation,‘Aşīrah ash Shamālīyah,92 Kedzie Avenue,438-979-4941
