InventoryID,BankID,BloodType,UnitsAvailable,LastUpdated
1,11,A-,55,2024-01-23
2,40,O+,74,2025-08-19
3,43,O+,26,2024-12-12
4,43,A-,63,2025-09-16
5,83,A-,27,2025-06-15
6,18,B-,6,2025-07-31
7,10,A-,62,2025-04-11
8,93,B+,11,2024-11-19
9,26,O+,15,2024-03-18
10,88,AB-,30,2025-12-11
11,52,O-,67,2024-05-16
12,44,B+,22,2025-08-28
13,55,B-,27,2024-09-23
14,44,O-,60,2024-04-21
15,44,A+,69,2025-06-30
16,48,O-,84,2025-09-18
17,35,O+,26,2025-10-05
18,50,AB+,56,2024-04-16
19,59,AB-,35,2024-01-21
20,87,AB+,97,2024-11-16
21,51,O+,69,2024-07-25
22,8,O-,16,2024-02-19
23,27,O-,94,2025-03-20
24,46,A+,88,2025-06-02
25,77,O+,88,2025-06-24
26,82,A-,7,2025-06-03
27,36,A+,45,2025-02-21
28,5,AB-,81,2025-12-18
29,37,A+,20,2025-11-29
30,94,A-,88,2024-12-25
31,47,B-,91,2024-06-14
32,67,A+,85,2024-07-29
33,92,AB-,59,2025-06-17
34,70,A-,2,2024-06-07
35,6,AB+,90,2025-05-27
36,19,O+,89,2025-11-29
37,80,A-,29,2024-07-10
38,84,B+,90,2024-09-03
39,77,B-,59,2024-12-13
40,50,O+,78,2025-05-05
41,36,A+,37,2025-03-03
42,35,A-,16,2025-02-21
43,43,B+,2,2025-12-09
44,22,B+,79,2025-04-15
45,1,AB+,54,2024-09-03
46,24,AB+,68,2024-06-06
47,23,A-,26,2025-12-23
48,57,A+,14,2025-01-23
49,28,O-,83,2025-11-05
50,10,B+,75,2024-11-17
51,58,AB-,88,2025-06-23
52,26,O-,7,2024-09-21
53,29,A-,84,2024-10-23
54,79,AB-,24,2025-03-10
55,38,O-,28,2024-06-12
56,45,B+,59,2025-07-06
57,85,AB-,95,2025-05-17
58,28,B-,7,2024-01-08
59,73,A-,77,2025-02-19
60,23,AB-,82,2025-05-26
61,4,B-,90,2025-12-30
62,50,AB+,32,2024-10-27
63,69,AB-,94,2024-10-25
64,40,B+,55,2025-02-25
65,24,B-,41,2025-09-04
66,83,A+,50,2025-01-17
67,17,AB+,40,2024-08-09
68,99,B+,23,2024-11-01
69,31,AB+,74,2025-10-11
70,92,O-,96,2024-10-18
71,39,O-,83,2024-11-17
72,21,O-,28,2025-08-16
73,1,O-,95,2024-05-31
74,58,B-,6,2025-03-19
75,15,AB+,94,2025-06-13
76,35,AB+,81,2025-05-16
77,53,O-,88,2025-01-14
78,61,O-,17,2025-09-08
79,30,O+,44,2024-01-13
80,44,A+,89,2025-05-17
81,2,O-,33,2025-02-09
82,19,O+,71,2025-05-10
83,58,O-,35,2024-06-01
84,46,A+,35,2024-03-22
85,94,B+,88,2024-10-29
86,37,O+,63,2024-07-21
87,62,A-,41,2024-07-22
88,9,O-,49,2024-05-03
89,9,B-,73,2025-05-08
90,89,B+,46,2025-12-17
91,38,AB+,75,2024-01-13
92,30,O+,45,2024-09-11
93,96,A+,40,2025-03-09
94,47,B-,32,2025-06-23
95,79,AB-,79,2024-06-04
96,6,B+,43,2025-07-14
97,26,B-,44,2024-12-23
98,70,A+,44,2024-01-14
99,83,A-,65,2024-11-20
100,81,AB-,20,2025-04-21
