HospitalID,AdminUserID,Name,City,Address,ContactNo
1,38,Jinnah Hospital,Jabłonowo Pomorskie,58 Di Loreto Point,327-907-3343
2,91,Hayatabad Medical Complex,Petit Raffray,7 Oxford Hill,177-184-9082
3,99,Jinnah Hospital,Oumiao,364 Lindbergh Way,756-844-9449
4,75,Jinnah Hospital,Zhireken,50 Gulseth Park,110-508-7102
5,11,NICVD,Tagbacan Ibaba,8 Cody Park,375-171-4032
6,69,Hayatabad Medical Complex,Flers,716 Luster Lane,483-776-9049
7,92,Hayatabad Medical Complex,Canchaque,4915 Vahlen Drive,205-893-3052
8,97,Rehman Medical Centre,Slobodskoy,8928 Graceland Point,449-229-7438
9,30,Rehman Medical Centre,Cincinnati,857 Pennsylvania Plaza,513-903-7629
10,84,NICVD,Washington,62 Parkside Terrace,202-550-1995
11,29,Jinnah Hospital,Pundong,29880 Blaine Place,344-367-3971
12,42,Hayatabad Medical Complex,Kunčice pod Ondřejníkem,4169 Namekagon Parkway,281-601-1625
13,31,Aga Khan Hospital,Vilar,02 Donald Terrace,255-470-1363
14,91,Jinnah Hospital,Zbarazh,10 Crest Line Alley,815-652-7949
15,98,NICVD,Tampere,2 Sunbrook Drive,194-586-4725
16,79,Hayatabad Medical Complex,Umbanyar,9468 Anthes Circle,185-444-4056
17,97,NICVD,Kuzhuping,00057 Evergreen Court,465-252-6404
18,19,Rehman Medical Centre,Krajan Suko Kidul,85 Rieder Junction,949-222-4046
19,58,Jinnah Hospital,Nagutskoye,28 Goodland Road,263-673-5058
20,79,Rehman Medical Centre,Pringsewu,75134 Claremont Circle,633-517-3996
21,39,Hayatabad Medical Complex,Ouaoula,259 Glendale Crossing,560-803-4460
22,84,Hayatabad Medical Complex,Balbagay,53 Warbler Plaza,589-791-1085
23,86,Rehman Medical Centre,Al Ḩayfah,02 Vermont Court,985-611-4687
24,49,Hayatabad Medical Complex,Tripoli,30892 Coleman Plaza,254-433-6896
25,7,NICVD,Ceelbuur,2 Eliot Place,479-563-7652
26,22,Jinnah Hospital,Ochla,8 Jana Way,653-511-3889
27,53,NICVD,Guchang,369 Merry Place,802-145-6696
28,92,Jinnah Hospital,Bayzhansay,441 Arrowood Road,808-903-3197
29,24,Aga Khan Hospital,Nowe Brzesko,7 Pennsylvania Point,986-808-9080
30,93,Aga Khan Hospital,Erandique,9 Burning Wood Junction,658-193-3055
31,16,NICVD,Yeshan,2 3rd Point,851-711-9543
32,92,Jinnah Hospital,Sunfang,74768 Commercial Circle,917-824-8980
33,73,Aga Khan Hospital,Quinta do Sobrado,255 Nova Street,493-448-3984
34,48,Aga Khan Hospital,Rila,12345 Green Way,762-323-3867
35,1,Jinnah Hospital,Hearst,1555 Jay Junction,611-521-5558
36,74,Jinnah Hospital,Mendez-Nuñez,31 Schlimgen Avenue,778-101-0519
37,37,Hayatabad Medical Complex,Strömsund,5521 Roth Pass,722-121-3728
38,28,Jinnah Hospital,Nor Gyugh,238 Jenna Lane,183-934-1717
39,40,NICVD,Chrysó,0458 Linden Pass,961-599-6580
40,67,Jinnah Hospital,Rimus,11682 Summer Ridge Point,868-729-7821
41,23,Aga Khan Hospital,Kajisara,30 Golf Drive,149-983-3471
42,20,Jinnah Hospital,Krzczonów,3428 Lakewood Gardens Terrace,372-801-5014
43,27,Jinnah Hospital,Huaidian,910 Artisan Hill,972-410-4754
44,98,Jinnah Hospital,Coaldale,16 La Follette Circle,971-451-7226
45,95,Jinnah Hospital,Cầu Gồ,2 Hauk Way,441-538-2277
46,15,Hayatabad Medical Complex,Tanahmerah,596 Bartillon Crossing,639-507-1711
47,99,Jinnah Hospital,Hanyuan,485 Doe Crossing Crossing,680-310-5263
48,57,Hayatabad Medical Complex,Cuevas,6734 Red Cloud Court,662-203-9785
49,43,Jinnah Hospital,Tatuí,5840 Grover Avenue,232-429-4983
50,77,Aga Khan Hospital,Kumla,98 Waubesa Park,423-893-5414
51,2,Jinnah Hospital,Sotteville-lès-Rouen,39 Marquette Drive,310-469-5611
52,1,Rehman Medical Centre,Kopral,46 Shelley Plaza,390-398-2682
53,88,Rehman Medical Centre,Kladi,8 Packers Place,505-390-4415
54,48,Rehman Medical Centre,Air Bangis,40731 Springs Avenue,945-518-8689
55,44,Rehman Medical Centre,Zhaike,5 Eliot Lane,308-236-2585
56,20,NICVD,Maturín,62 Lawn Trail,931-122-2518
57,5,Jinnah Hospital,Santa Teresa,71 Londonderry Road,677-194-6055
58,15,Jinnah Hospital,Sukamaju,29 Algoma Pass,234-848-2682
59,2,NICVD,Avallon,140 Melody Trail,768-813-4970
60,5,Hayatabad Medical Complex,Gvardeysk,0 Longview Alley,706-755-7888
61,100,Jinnah Hospital,Almaznyy,59951 Walton Point,212-943-9416
62,35,Rehman Medical Centre,Paris La Défense,887 Eggendart Crossing,964-307-1488
63,21,NICVD,Dalu,7744 Hagan Pass,425-731-5746
64,85,NICVD,Suva Reka,685 Crest Line Terrace,343-539-0851
65,56,Jinnah Hospital,Tobruk,0 Granby Street,957-101-5046
66,64,Jinnah Hospital,Kuytun,150 Northland Junction,609-721-0414
67,39,NICVD,Älvsjö,76181 Redwing Pass,151-624-4283
68,72,Aga Khan Hospital,Bafia,60 Service Pass,292-582-4826
69,2,Hayatabad Medical Complex,Shuitianzhuang,304 Sage Road,583-508-1412
70,83,Hayatabad Medical Complex,Changping,08 Lyons Way,479-249-1799
71,45,Jinnah Hospital,Osekovo,53 Goodland Terrace,343-727-3999
72,5,Aga Khan Hospital,Ghormach,9 Schurz Circle,132-213-7540
